,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
4,2.93457293510437,5.890345573425293,10.227452278137209,7.208447456359863,5.8258562088012695,6.605714797973633,6.771310329437256,1
10,5.560203075408936,3.472792148590088,2.2162439823150635,5.653224468231201,6.638916969299316,3.2129881381988525,2.189011812210083,1
25,3.7387537956237793,5.641364097595215,1.8127769231796265,3.1141810417175293,4.748802185058594,3.766370058059693,2.456795215606689,1
27,2.6477036476135254,1.020641565322876,4.712510585784912,0.9725648164749146,3.4755566120147705,0.097889743745327,0.8141366839408875,1
29,15.035205841064451,7.581436157226562,3.281045913696289,3.5706677436828613,4.137670516967773,2.7086341381073,2.464151382446289,2
33,9.000970840454102,3.669628381729126,4.909520626068115,6.549127101898193,6.219092845916748,2.0131313800811768,4.326956748962402,2
36,2.45924711227417,2.503028392791748,2.704267978668213,1.989346265792847,2.370849370956421,0.8851558566093445,1.48737895488739,1
43,15.81075668334961,16.229990005493164,16.866806030273438,16.388710021972656,12.71303367614746,12.823637008666992,13.432530403137209,1
51,4.930606842041016,2.724871635437012,5.258607864379883,6.629829406738281,3.984715461730957,2.3340721130371094,3.61891770362854,1
53,20.69502830505371,30.20393180847168,24.92598342895508,15.618504524230955,9.753605842590332,17.069082260131836,17.461933135986328,1
56,1.043492078781128,2.5543947219848637,2.503706693649292,3.371030330657959,1.97373366355896,5.154350757598877,6.268725395202637,1
63,5.624584674835205,2.5602357387542725,1.0772420167922974,3.5433239936828613,13.072406768798828,3.3159334659576416,4.355351448059082,2
66,2.87180233001709,4.133991718292236,3.721485376358032,3.5739121437072754,2.0348989963531494,3.0227580070495605,13.283230781555176,2
71,4.558605670928955,7.263364315032959,7.470542430877685,6.464919090270996,4.958593845367432,5.3628764152526855,1.2308467626571655,1
80,4.398229122161865,2.7850067615509038,2.8410532474517822,5.669565677642822,3.06488299369812,3.743013858795166,0.7705943584442139,1
85,1.5154026746749878,2.4976353645324707,2.3338844776153564,1.716433882713318,5.015048027038574,3.43339467048645,3.956046581268311,1
